David,ComputerM,charlie@nodomain.nowhere                                                                               
Dawn,DataGal,dawn@nodomain.nowhere
Erin,Erinster,erin@nodomain.nowhere
Frank,Frankster,frank@nodomain.nowhere
                                                                                       d,, 
Lightsys,Tech,l@tech.com 
Lightsys,Tech,l@tech.com 
Lightsys,Tech,l@tech.com 
Lightsys,Tech,l@tech.com 
Lightsys,Tech,l@tech.com 
Lightsys,Tech,l@tech.com 
Lightsys,Tech,l@tech.com 
David ,Hopkins2,d@h.org 
David ,Hopkins2,d@h.org 
David ,Hopkins2,d@h.org 
David ,Hopkins2,d@h.org 
David ,Hopkins2,d@h.org 
David ,Hopkins ,d@yy.com 
David ,Hopkins ,d@yy.com 
Light,Sys,l@sys.org 
Light,Sys,l@sys.org 
Light,Sys,l@sys.org 
Light,Sys,l@sys.org 
                    F,F,f@gcom 
G,G,G 
G,G,G 
G,G,G@com 
          F,F,F 
                                        Bob,Bobby,bobbybob 
Bob,Bobbyisthebest,bobbybob 
Bob,Bobbyisthebest1,bobbybob 
Hello,Itsme,m 
Red,Car,car 
Blue,Blue,blu 
          H,H,H 
B,B,B 
